Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
AK,"Aug 6 - Aug 11, 2020",1,Statewide,Statewide,738516,5,777,,,,81,0.7,0,2.23,1,83,0,0,4.35,2,73,777,,,,88,0,0,4.11,2,154,0.7,0,2.35,1,242,0.3,0,1.12,1,2216,0,8271,false,true
AL,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,4864680,192,10.2,5.61,14.83,0,242,4.7,1.86,7.8,0,245,5.9,2.71,10,0,255,2.3,0.6,4.63,0,373,4.9,2.5,7.97,0,565,6.6,4.39,9.15,0,938,5.8,4.16,7.71,0,282151,202371,375067,true,false
AR,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,2990671,199,5,2,8.6,0,241,4.7,2.17,7.88,0,242,4.2,1.38,7.5,0,242,1.5,0,3.29,0,380,3.8,1.86,6.1,0,557,4.3,2.4,6.68,0,937,4.1,2.74,5.63,0,122618,81944,168375,true,false
AZ,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,6946685,24,777,,,,244,10.8,3.61,20.32,0,222,7.1,0.74,14.83,1,101,5.5,0.18,12.19,1,93,9,2.2,17.7,0,498,7.5,3.26,13.56,0,591,8.2,4.11,13.59,0,569628,285509,944054,true,true
CA,"Jul 30 -  Aug 5, 2020",1,Statewide,Statewide,39148760,245,6.2,3.12,10.09,0,245,7,3.9,10.3,0,245,5.2,2.46,8.82,0,245,1.1,0,2.61,1,420,5.1,2.74,7.83,0,560,6.3,3.97,9.19,0,980,5.7,4.05,7.77,0,2231479,1585525,3041859,true,true
CO,"Jul 30 -  Aug 7, 2020",1,Statewide,Statewide,5531141,240,4.3,0.63,10.52,1,246,1.1,0,2.75,1,258,4.3,0.34,11.31,1,257,0.8,0,2.07,1,454,2.7,0.75,5.72,0,547,2.1,0.49,4.94,0,1001,2.4,0.89,4.53,0,132747,49227,250561,true,true
CT,"Jul 30 -  Aug 3, 2020",1,Statewide,Statewide,3581504,248,3.9,1.48,6.46,0,249,3.1,1,5.62,0,248,3.7,1.3,6.3,0,249,2.7,0.5,5.17,0,417,4.2,2.13,6.42,0,577,2.5,1.18,4.1,0,994,3.4,2.04,4.72,0,121771,73063,169047,true,false
DC,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,684498,49,777,,,,262,1.4,0,3.09,1,185,5.5,2.28,9.15,0,219,6.4,3.28,9.94,0,321,3.3,1.27,5.93,0,396,4.4,2.06,7.53,0,717,3.9,2.18,5.76,0,26695,14922,39427,true,true
DE,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,949495,52,777,,,,237,8.3,4.31,12.72,0,261,5,2.24,8.34,0,254,0.9,0,2.29,1,339,4.3,2.13,7.12,0,465,7,4.02,10.92,0,804,5.7,3.55,8.22,0,54121,33707,78048,true,true
FL,"Jul 31 -  Aug 3, 2020",1,Statewide,Statewide,20598139,245,3.8,1.57,6.35,0,245,5.4,2.28,8.78,0,244,3.7,1.22,6.46,0,246,3.3,0.96,6.22,0,427,5.2,2.67,7.95,0,553,3.5,1.78,5.34,0,980,4.3,2.77,5.86,0,885720,570568,1207051,true,false
GA,"Aug 2 - Aug 11, 2020",1,Statewide,Statewide,10297484,242,8.6,4.78,12.54,0,245,7.8,4.18,11.09,0,245,4.9,2.02,7.86,0,252,2.8,0.8,5.52,0,459,8.1,5.08,11.86,0,526,5.6,3.35,8.43,0,985,6.8,4.83,8.81,0,700229,497368,907208,true,false
HI,"Aug 3 - Aug 11, 2020",1,Statewide,Statewide,1422029,1,777,,,,1,777,,,,2,777,,,,1,777,,,,1,777,,,,4,777,,,,5,777,,,,,,,false,
IA,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,3132499,69,777,,,,251,11.4,7.12,16.11,0,254,6.5,2.92,9.93,0,237,2.5,0.44,5.12,0,353,4.6,1.85,7.4,0,458,12.5,8.54,17.01,0,811,8.6,5.98,11.34,0,269395,187323,355225,true,false
ID,"Aug 4 - Aug 11, 2020",1,Statewide,Statewide,1687809,10,777,,,,78,10.3,3.75,19.04,0,65,777,,,,93,1.3,0,4.51,1,90,7,2.04,14.12,0,156,2.1,0.16,5.31,1,246,4.5,1.8,7.99,0,75951,30381,134856,false,true
IL,"Jul 29 - Aug 10, 2020",1,Statewide,Statewide,12821497,244,5.1,1.96,8.55,0,246,3.8,1.6,6.24,0,252,3.5,1.43,5.78,0,260,3.1,1.18,5.51,0,432,3.5,1.62,5.64,0,572,4.3,2.59,6.32,0,1004,3.9,2.52,5.21,0,500038,323102,668000,true,false
IN,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,6637426,23,777,,,,228,3.3,0.97,6.16,0,186,4.4,1.08,9.53,0,142,0,0,2.56,2,152,1.4,0,3.3,1,427,3,1.16,5.46,0,579,2.2,1.1,3.63,0,146023,73012,240939,false,true
KS,"Jul 29 -  Aug 8, 2020",1,Statewide,Statewide,2908776,234,1.6,0,3.74,0,240,1.9,0.33,4.26,0,244,1.5,0,3.36,0,244,0.9,0,2.51,1,420,1.4,0.28,2.84,0,542,1.8,0.44,3.46,0,962,1.6,0.7,2.8,0,46540,20361,81446,true,true
KY,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,4440204,240,4.1,1.66,7.21,0,246,2.1,0.34,4.34,0,243,2.2,0.42,4.31,0,245,1.3,0,3.17,1,448,2.2,0.65,4.06,0,527,2.7,1.16,4.39,0,975,2.4,1.32,3.62,0,106565,58611,160735,true,true
LA,"Jul 28 - Aug 13, 2020",1,Statewide,Statewide,4663616,245,11.7,6.99,17.33,0,252,10.6,6.64,15.17,0,249,9.9,4.06,18.63,0,256,2.7,0.73,5.06,0,401,8.9,5.1,13.35,0,601,10.2,6.91,13.74,0,1002,9.6,6.88,12.29,0,447707,320857,573158,true,false
MA,"Jul 30 - Aug 10, 2020",1,Statewide,Statewide,6830193,242,6.2,3.13,9.64,0,243,3.4,1.19,6.05,0,245,4.6,1.81,7.29,0,248,3.5,1.29,6.01,0,413,4.8,2.83,7.36,0,565,3.7,1.94,5.43,0,978,4.2,2.89,5.81,0,286868,197393,396834,true,false
MD,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,6003435,67,777,,,,241,11.6,7.13,15.96,0,237,5.7,3.04,8.61,0,238,2.8,0.93,5.07,0,284,11.5,6.57,16.74,0,499,8.1,5.18,11.83,0,783,9.7,7.26,12.87,0,582333,435849,772642,true,false
ME,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,1332813,26,777,,,,229,0.4,0,1.46,1,152,1.2,0,3.28,1,191,0.4,0,1.56,1,233,1,0,2.37,0,365,0,0,1.01,2,598,0.5,0,1.16,0,6664,0,15461,false,true
MI,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,9957488,245,6.7,3.64,10.4,0,245,3.6,1.39,6.48,0,243,1.8,0,3.83,0,249,0.3,0,1.28,1,454,3.9,2,6.07,0,528,2.8,1.31,4.67,0,982,3.4,2.16,4.84,0,338555,215082,481942,true,true
MN,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,5527358,142,3.7,1.03,7.02,0,240,4.5,2.16,7.08,0,243,1.6,0.32,3.1,0,247,3.2,0,9.08,1,361,3.2,1.08,5.61,0,518,3.8,1.95,5.68,0,879,3.5,2.06,5.01,0,193458,113864,276921,true,true
MO,"Jul 28 - Aug 10, 2020",1,Statewide,Statewide,6090062,242,3.2,1.12,5.45,0,244,2.9,0.96,5.15,0,244,2.1,0.33,4.46,0,243,1.1,0,3.25,1,429,1.7,0.55,3.19,0,550,3.3,1.45,5.19,0,979,2.5,1.44,3.61,0,152252,87697,219851,true,true
MS,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,2988762,37,777,,,,243,6.2,2.83,10.12,0,246,5,2.09,8.73,0,243,2.6,0.54,5.49,1,328,4,1.23,7.81,0,441,10,4.05,17.18,0,769,7.1,3.75,11.09,0,212202,112079,331454,true,true
MT,"Jul 29 - Aug 10, 2020",1,Statewide,Statewide,1041732,11,777,,,,63,777,,,,67,777,,,,53,777,,,,86,0,0,4.2,2,113,0.9,0,3.37,1,199,0.5,0,1.67,1,5209,0,17397,false,true
NC,"Jul 29 - Aug 10, 2020",1,Statewide,Statewide,10155624,197,6.4,2.84,10.49,0,248,1.6,0.35,3.5,1,243,0.9,0,2.33,1,240,1,0,2.52,1,394,1.6,0.31,3.1,0,534,3.3,1.66,5.2,0,928,2.5,1.31,3.72,0,253891,133039,377789,true,true
ND,"Jul 29 - Aug 12, 2020",1,Statewide,Statewide,752201,5,777,,,,57,777,,,,30,777,,,,26,777,,,,47,777,,,,74,777,,,,121,7.3,1.3,14.28,0,54911,9779,107414,false,false
NE,"Jul 28 - Aug 13, 2020",1,Statewide,Statewide,1904760,152,10.2,4.83,16.49,0,254,8.1,4.41,12.18,0,243,7.6,3.4,12.51,0,298,0.8,0,2.91,1,391,8.2,4.62,12.06,0,563,6.6,4.12,9.34,0,954,7.4,5.25,9.75,0,140952,100000,185714,true,true
NH,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,1343622,69,777,,,,248,1,0,2.42,1,247,0.3,0,1.31,1,245,1.7,0.25,3.72,0,326,1,0.14,2.08,0,483,0.6,0,1.39,1,809,0.8,0.22,1.48,0,10749,2956,19886,false,true
NJ,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,8881845,210,22.3,16.6,28.9,0,220,14.2,9.29,19.31,0,224,12,7.58,16.93,0,217,9.5,5.05,13.96,0,328,15.3,11.04,20.1,0,543,14.3,10.82,17.84,0,871,14.8,12.23,17.57,0,1314513,1086250,1560540,true,false
NM,"Jul 29 - Aug 13, 2020",1,Statewide,Statewide,2092434,156,3.1,0.7,6.3,1,290,1.8,0.63,3.69,0,262,2.6,0.68,4.86,0,255,0.3,0,0.99,1,359,0.6,0,1.84,1,605,3.3,1.84,5.11,0,964,2,1.09,3.02,0,41849,22808,63192,true,true
NV,"Jul 30 -  Aug 2, 2020",1,Statewide,Statewide,2922849,243,8.9,5.36,12.85,0,245,4.2,1.69,7.3,0,243,4,1.78,6.61,0,246,3.1,1.14,5.64,0,441,5.3,2.87,8.07,0,538,4.9,3.19,6.86,0,979,5.1,3.63,6.66,0,149065,106099,194662,true,false
NY,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,19618453,214,26.7,20.64,33.36,0,197,29.7,22.63,36.55,0,218,17.8,12.68,23.16,0,217,7.9,4.18,11.64,0,366,21.6,16.81,27.1,0,480,24.9,20.81,29.17,0,846,23.3,20.07,26.32,0,4571100,3937424,5163577,true,false
OH,"Jul 29 - Aug 11, 2020",1,Statewide,Statewide,11641879,85,3.3,0,8.03,1,283,1.3,0.15,2.71,0,158,3.6,0.78,6.97,0,260,1.5,0.28,3.07,0,343,2.5,0.7,4.69,0,443,2.1,0.65,3.76,0,786,2.3,1.11,3.61,0,267763,129225,420272,true,true
OK,"Jul 28 -  Aug 4, 2020",1,Statewide,Statewide,3918137,243,3.6,1.28,6.2,0,247,0.4,0,1.32,1,246,1.8,0,4.14,1,243,1.5,0,3.5,1,370,1.4,0.29,2.74,0,609,1.8,0.78,3.03,0,979,1.6,0.85,2.49,0,62690,33304,97562,true,true
OR,"Aug 5 - Aug 11, 2020",1,Statewide,Statewide,4081943,86,5.6,0.87,12.05,1,301,2.2,0.54,4.03,0,0,666,,,,271,0.6,0,1.67,1,257,2.3,0.36,5.19,1,401,2.3,0.73,4,0,658,2.3,1.03,3.84,0,93885,42044,156747,true,true
PA,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,12791181,9,777,,,,230,12.8,8.91,17.84,0,169,8.5,3.76,14,0,167,1.2,0,3.34,1,310,9.5,6.33,13.61,0,265,11,3.26,22.51,0,575,10.2,5.71,17.21,0,1304700,730376,2201362,true,true
PR,"Jul 27 -  Aug 7, 2020",1,Statewide,Statewide,3386941,246,0,0,1.49,2,245,0.4,0,1.35,1,248,2.5,0.53,5.15,1,245,2.2,0.52,4.99,1,364,1.4,0.39,2.56,0,620,0.8,0.12,1.69,1,984,1.1,0.43,1.8,0,37256,14564,60965,false,true
RI,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,1056611,20,777,,,,240,2.3,0.45,4.65,0,208,4.1,1.14,7.37,0,216,1.7,0,3.69,0,309,2.7,0.99,4.64,0,375,3.4,0.65,7.7,0,684,3,1.23,5.51,0,31698,12996,58219,true,false
SC,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,4955925,86,11.6,4.48,20.14,0,244,9.2,5.45,13.32,0,244,6.9,3.74,10.92,0,266,2.1,0.52,4.25,1,364,9.4,5.62,13.51,0,476,6.9,4.08,9.88,0,840,8.1,5.79,10.69,0,401430,286948,529788,true,true
SD,"Jul 29 - Aug 12, 2020",1,Statewide,Statewide,864289,0,666,,,,21,777,,,,11,777,,,,15,777,,,,31,777,,,,16,777,,,,47,777,,,,,,,false,
TN,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,6651089,273,8.3,4.93,12.27,0,242,8.4,4.69,12.4,0,242,2.5,0.69,5.21,0,246,2.6,0.66,5.01,0,378,6.4,3.43,9.84,0,625,6.2,4.22,8.66,0,1003,6.3,4.41,8.25,0,419019,293313,548715,true,false
TX,"Jul 29 -  Aug 5, 2020",1,Statewide,Statewide,27885195,246,8.4,4.78,13.05,0,246,5.6,2.94,9.06,0,246,5.5,2.32,9.42,0,247,1.9,0.34,4.02,1,438,6.2,3.61,8.88,0,548,5.5,2.95,8.31,0,986,5.9,4.04,7.95,0,1645227,1126562,2216873,true,true
UT,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,3045350,36,777,,,,355,4.3,1.96,6.73,0,249,3.1,1.13,5.53,0,240,1.3,0,3.26,1,339,2.2,0.62,3.92,0,541,4.2,1.77,7.5,0,880,3.2,1.7,5.03,0,97451,51771,153181,true,true
VA,"Jul 31 - Aug 11, 2020",1,Statewide,Statewide,8413774,23,777,,,,240,3.9,1.46,6.77,0,227,2.4,0.26,5.12,0,240,2.2,0.39,4.72,0,282,2.7,0.57,5.24,0,448,5.5,1.54,10.71,0,730,4.1,1.8,6.93,0,344965,151448,583075,true,false
VT,"Jul 30 - Aug 11, 2020",1,Statewide,Statewide,624977,4,777,,,,153,1.1,0,4.42,1,96,0,0,3.77,2,93,0,0,3.89,2,127,1,0,3.74,1,219,0,0,1.67,2,346,0.5,0,1.84,1,3125,0,11500,false,true
WA,"Jul 29 - Aug 11, 2020",1,Statewide,Statewide,7294336,189,0.5,0,1.84,1,191,3.9,1.27,7.07,0,304,1,0,2.34,1,0,666,,,,292,2,0.25,4.27,1,392,2.3,0.72,4.2,0,684,2.1,0.81,3.7,0,153181,59084,269890,true,true
WI,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,5778394,79,2.4,0,6.28,1,243,2.2,0.45,4.31,0,240,1.4,0,3.65,1,244,0.8,0,2.18,1,361,2,0.26,3.96,0,453,1.7,0.41,3.4,0,814,1.8,0.76,3.18,0,104011,43916,183753,true,true
WV,"Jul 30 - Aug 13, 2020",1,Statewide,Statewide,1829054,9,777,,,,140,1.7,0,4.74,1,95,0.4,0,1.85,1,73,777,,,,115,1.5,0,3.48,1,202,0.9,0,2.55,1,317,1.2,0.23,2.5,0,21949,4207,45726,false,true
WY,"Jul 29 - Aug 11, 2020",1,Statewide,Statewide,581836,1,777,,,,30,777,,,,24,777,,,,15,777,,,,36,777,,,,34,777,,,,71,777,,,,,,,false,
AK,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,738516,20,777,,,,311,2.5,0.81,4.85,0,215,0.8,0,2.65,1,157,0,0,2.32,2,264,0.9,0,2.2,1,440,1.7,0.53,3.2,0,704,1.3,0.5,2.33,0,9601,3693,17207,false,true
AL,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,4864680,187,11,6.16,16.57,0,252,9.9,6.01,14.37,0,277,3.6,1.46,6.12,0,256,2,0.35,4.16,1,414,8.8,5.22,12.38,0,560,6.5,4.06,9.28,0,974,7.6,5.33,9.76,0,369716,259287,474793,true,true
AR,"Aug 11 - Aug 25, 2020",2,Statewide,Statewide,2990671,156,3.9,0.84,7.45,0,337,3.2,1.08,5.6,0,249,3.9,1.44,7.18,0,243,0.5,0,1.5,1,371,3.3,1.26,5.7,0,626,2.8,1.33,4.36,0,998,3,1.76,4.35,0,89720,52636,130094,true,true
AZ,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,6946685,27,777,,,,943,7.4,3.94,12.04,0,226,5.6,0.66,12.71,1,108,0,0,3.36,2,102,5.5,1.82,10.69,0,1202,3.9,1.82,7.01,0,1304,4.7,2.7,7.61,0,326494,187560,528643,false,true
CA,"Aug 13 - Aug 19, 2020",2,Statewide,Statewide,39148760,245,5.6,2.55,8.94,0,245,4.8,2.22,7.97,0,245,2.3,0.67,4.59,0,245,3.5,1.21,6.77,0,430,4.8,2.62,7.31,0,550,3.9,1.83,6.05,0,980,4.3,2.85,6.06,0,1683397,1115740,2372415,true,false
CO,"Aug 10 - Aug 25, 2020",2,Statewide,Statewide,5531141,255,3.3,1.18,5.69,0,258,4.8,2.05,7.81,0,253,1.7,0.34,3.33,0,253,0.5,0,1.65,1,436,3.4,1.34,5.69,0,583,3.2,1.61,5.11,0,1019,3.3,1.83,4.8,0,182528,101220,265495,true,true
CT,"Aug 11 - Aug 24, 2020",2,Statewide,Statewide,3581504,244,5.1,1.95,8.16,0,246,1,0,2.7,1,245,2.8,0.71,5.11,0,248,2,0.32,3.97,0,403,2.2,0.85,3.87,0,580,2.6,1.38,4.26,0,983,2.4,1.45,3.52,0,85956,51932,126069,true,true
DC,"Aug 13 - Aug 27, 2020",2,Statewide,Statewide,684498,47,777,,,,255,8.3,4.77,12.02,0,227,5.5,2.52,8.91,0,249,2.9,1.05,5.23,0,323,5.5,2.48,9.17,0,458,8,4.85,11.64,0,781,6.8,4.59,9.21,0,46546,31418,63042,true,false
DE,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,949495,66,777,,,,241,9.3,5.26,13.82,0,288,6.3,3.29,9.23,0,409,2.1,0.68,3.72,0,418,9.7,5.32,14.62,0,586,7.3,4.14,10.62,0,1004,8.5,5.79,11.25,0,80707,54976,106818,true,false
FL,"Aug 14 - Aug 14, 2020",2,Statewide,Statewide,20598139,245,6.4,3.13,9.94,0,244,5.4,2.47,8.88,0,245,2.7,0.75,5.38,0,244,2.3,0.44,4.78,1,448,4.6,2.41,7.31,0,530,4.3,2.42,6.34,0,978,4.5,3.15,6.06,0,926916,648841,1248247,true,true
GA,"Aug 13 - Aug 26, 2020",2,Statewide,Statewide,10297484,277,9.6,5.64,13.96,0,253,6.4,3.38,9.84,0,251,7.2,3.45,11.88,0,250,6.8,2.8,12.09,0,465,8.3,5.35,11.68,0,566,6.5,4.23,9.32,0,1031,7.4,5.52,9.51,0,762014,568421,979291,true,false
HI,"Aug 14 - Aug 26, 2020",2,Statewide,Statewide,1422029,1,777,,,,2,777,,,,0,666,,,,6,777,,,,3,777,,,,6,777,,,,9,777,,,,,,,false,
IA,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,3132499,72,777,,,,313,11.9,7.93,15.81,0,341,9.1,6.01,12.49,0,253,4.5,1.92,7.39,0,476,7.8,5.02,11.66,0,504,10.9,7.54,14.88,0,980,9.4,7.12,11.63,0,294455,223034,364310,true,false
ID,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,1687809,22,777,,,,207,2.6,0.54,4.99,0,170,5.1,1.44,9.73,0,252,3.1,1.05,5.78,0,226,4.8,0.69,12.76,1,425,4.3,1.42,8.73,0,651,4.6,1.67,9.05,0,77639,28186,152747,true,true
IL,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,12821497,246,3.5,1.17,6.4,0,246,7.4,4.23,10.9,0,244,3.4,1.3,6.12,0,249,2,0.58,3.71,0,469,5.1,3.01,7.38,0,516,4.8,2.44,7.08,0,985,4.9,3.4,6.65,0,628253,435931,852630,true,false
IN,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,6637426,12,777,,,,501,5,2.63,7.71,0,197,0.9,0,3.07,1,196,5.4,0,14.17,1,180,2.9,0.45,6.11,0,726,3.2,1.69,5.18,0,906,3.1,1.53,4.76,0,205760,101553,315941,false,true
KS,"Aug 11 - Aug 25, 2020",2,Statewide,Statewide,2908776,252,2.1,0.28,4.3,0,252,6,2.51,9.99,0,254,3.4,0.74,6.92,0,255,0.4,0,1.41,1,408,4.4,1.71,7.11,0,608,3,1.08,5.04,0,1016,3.7,2.02,5.47,0,107625,58757,159110,true,true
KY,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,4440204,245,4.2,1.7,6.94,0,244,3.5,1.47,6.03,0,368,2.8,1.07,4.85,0,269,1,0,2.58,1,510,4.1,2.26,6.08,0,616,2.1,0.89,3.81,0,1126,3.1,2.05,4.49,0,137646,91024,199365,true,true
LA,"Aug 12 - Aug 25, 2020",2,Statewide,Statewide,4663616,235,12.2,7.68,17.67,0,249,11,6.84,16.36,0,252,16.7,10.74,23.6,0,253,6.8,3.46,11.33,0,402,10.4,7,14.49,0,587,13.2,9.31,17.57,0,989,11.8,9.27,14.81,0,550307,432317,690682,true,false
MA,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,6830193,243,4.2,1.69,7.37,0,246,4.6,2.14,7.84,0,246,2.4,0.48,4.7,0,245,2.1,0.34,4.47,0,422,4.4,2.22,6.78,0,558,3,1.49,4.97,0,980,3.7,2.27,5.21,0,252717,155045,355853,true,false
MD,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,6003435,63,777,,,,380,7.9,5.3,11,0,349,4.6,2.33,7.26,0,382,3.8,1.88,6.1,0,476,7.9,4.22,11.37,0,698,6.2,3.78,8.98,0,1174,7,4.92,9.33,0,420240,295369,560120,true,false
ME,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,1332813,15,777,,,,230,1.4,0,3.63,1,174,0,0,2.1,2,190,0.2,0,1.02,1,239,0,0,1.53,2,370,1.2,0,2.82,1,609,0.6,0,1.44,1,7997,0,19193,false,true
MI,"Aug 12 - Aug 25, 2020",2,Statewide,Statewide,9957488,247,6,3.09,9.18,0,245,3.9,1.39,6.81,0,245,3.9,1.47,7.17,0,246,2.7,0.79,4.86,0,427,4.8,2.62,7.37,0,556,3.5,1.8,5.52,0,983,4.2,2.88,5.76,0,418214,286776,573551,true,false
MN,"Aug 11 - Aug 27, 2020",2,Statewide,Statewide,5527358,163,2.3,0.38,4.8,0,249,5.6,3,8.5,0,280,5.3,2.65,7.98,0,286,3.6,1.5,6.03,0,432,4.3,2.49,6.41,0,546,4.6,2.85,6.68,0,978,4.5,3.05,5.87,0,248731,168584,324456,true,false
MO,"Aug 12 - Aug 21, 2020",2,Statewide,Statewide,6090062,253,3.7,1.3,6.63,0,247,4.3,1.85,7.45,0,260,3.1,1.26,5.34,0,257,1.6,0,3.77,1,427,2.8,1.11,5.15,0,594,4.1,2.24,6.23,0,1021,3.5,2.23,5.06,0,213152,135808,308157,true,true
MS,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,2988762,25,777,,,,315,13,8.64,17.97,0,314,9.1,5.65,13.25,0,314,3.1,1.16,5.95,0,416,8.1,4.6,12.8,0,552,11.8,6.69,19.81,0,968,10,6.69,14.71,0,298876,199948,439647,true,false
MT,"Aug 12 - Aug 24, 2020",2,Statewide,Statewide,1041732,19,777,,,,108,1.7,0,4.55,1,131,0,0,2.78,2,119,3.6,0.66,7.2,0,160,0.7,0,2.51,1,223,1.9,0.4,3.93,0,383,1.3,0.38,2.49,0,13543,3959,25939,false,true
NC,"Aug 11 - Aug 27, 2020",2,Statewide,Statewide,10155624,246,4.1,1.72,6.93,0,246,3.4,1.27,6.11,0,245,6.1,3.2,9.98,0,245,1.3,0.25,3.12,1,390,3.2,1.24,5.68,0,592,4.3,2.33,6.43,0,982,3.8,2.33,5.29,0,385914,236626,537233,true,true
ND,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,752201,6,777,,,,63,777,,,,39,777,,,,26,777,,,,45,777,,,,90,1.3,0,2.99,1,135,0.6,0,1.45,1,4513,0,10907,false,true
NE,"Aug 11 - Aug 25, 2020",2,Statewide,Statewide,1904760,68,777,,,,348,10,6.45,13.73,0,323,4.5,2.44,6.93,0,247,2.9,0.93,5.54,0,513,8.6,4.8,13.19,0,477,7.2,4.46,10.44,0,990,7.9,5.51,10.61,0,150476,104952,202095,true,false
NH,"Aug 13 - Aug 25, 2020",2,Statewide,Statewide,1343622,35,777,,,,394,0.8,0,1.64,0,394,1.3,0.23,2.42,0,302,1,0,2.29,0,476,0.9,0.23,1.7,0,649,0.6,0.1,1.3,0,1125,0.8,0.3,1.22,0,10749,4031,16392,false,false
NJ,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,8881845,209,16.9,11.31,21.99,0,313,14.2,10.3,18.5,0,291,7.3,4.33,10.26,0,314,6.7,3.93,10.08,0,460,11,7.88,14.46,0,667,13.4,10.59,16.23,0,1127,12.2,10.15,14.53,0,1083585,901507,1290532,true,false
NM,"Aug 10 - Aug 27, 2020",2,Statewide,Statewide,2092434,178,4.1,0.98,8.07,0,264,2.2,0.55,4.28,0,268,2.7,0.94,5.16,0,265,0.8,0,2,1,372,2.2,0.5,4.15,0,604,2.8,1.39,4.47,0,976,2.5,1.47,3.79,0,52311,30759,79303,true,true
NV,"Aug 12 - Aug 26, 2020",2,Statewide,Statewide,2922849,244,9.7,5.94,13.45,0,245,7.8,4.68,11.11,0,244,8,4.71,11.44,0,239,5.4,2.8,8.7,0,420,8.9,5.93,12.39,0,552,7,4.83,9.36,0,972,7.9,6.13,9.83,0,230905,179171,287316,true,false
NY,"Aug 10 - Aug 26, 2020",2,Statewide,Statewide,19618453,270,25.2,19.71,30.91,0,283,22.2,17.52,27.19,0,292,16.8,12.74,21.44,0,277,14.6,10.95,18.43,0,449,20.6,16.69,24.78,0,673,20.5,17.21,24.14,0,1122,20.6,18.04,23.14,0,4041401,3539169,4539710,true,false
OH,"Aug 12 - Aug 27, 2020",2,Statewide,Statewide,11641879,103,2.5,0,6.35,1,287,2,0.43,4.09,0,306,2.6,0.89,4.67,0,289,1,0,2.58,1,403,1.7,0.37,3.5,0,582,2.4,1.04,4.22,0,985,2.1,1.06,3.29,0,244479,123404,383018,true,true
