"age","sex","race_ethnicity","life_expectancy"
87,"male","Other",5.1194429397583
88,"male","Other",4.74059534072876
89,"male","Other",4.38794183731079
90,"male","Other",4.06085538864136
91,"male","Other",3.7585756778717
92,"male","Other",3.48022317886353
93,"male","Other",3.22481226921082
94,"male","Other",2.99126935005188
95,"male","Other",2.77845025062561
96,"male","Other",2.58515787124634
97,"male","Other",2.41016268730164
98,"male","Other",2.25221872329712
99,"male","Other",2.11008262634277
100,"male","Other",1.98252737522125
0,"female","Other",81.1047439575195
1,"female","Other",80.5302200317383
2,"female","Other",79.5573654174805
3,"female","Other",78.5737762451172
4,"female","Other",77.5862121582031
5,"female","Other",76.5969161987305
6,"female","Other",75.6064758300781
7,"female","Other",74.6149597167969
8,"female","Other",73.6226425170898
9,"female","Other",72.6297149658203
10,"female","Other",71.6363754272461
11,"female","Other",70.6429214477539
12,"female","Other",69.6497955322266
13,"female","Other",68.6575927734375
14,"female","Other",67.6669921875
15,"female","Other",66.6785202026367
16,"female","Other",65.6924209594727
17,"female","Other",64.708740234375
18,"female","Other",63.7275238037109
19,"female","Other",62.7487564086914
20,"female","Other",61.7723579406738
21,"female","Other",60.7983703613281
22,"female","Other",59.8267631530762
23,"female","Other",58.8572196960449
24,"female","Other",57.889331817627
25,"female","Other",56.9227905273438
26,"female","Other",55.9574279785156
27,"female","Other",54.9932594299316
28,"female","Other",54.0304336547852
29,"female","Other",53.0692443847656
30,"female","Other",52.1099510192871
31,"female","Other",51.1527442932129
32,"female","Other",50.1975936889648
33,"female","Other",49.244327545166
34,"female","Other",48.2925987243652
35,"female","Other",47.3421401977539
36,"female","Other",46.3930931091309
37,"female","Other",45.4456634521484
38,"female","Other",44.4997901916504
39,"female","Other",43.5554809570312
40,"female","Other",42.612922668457
41,"female","Other",41.6725654602051
42,"female","Other",40.7349510192871
43,"female","Other",39.8004951477051
44,"female","Other",38.8694038391113
45,"female","Other",37.9418029785156
46,"female","Other",37.0177688598633
47,"female","Other",36.0976448059082
48,"female","Other",35.182071685791
49,"female","Other",34.271915435791
50,"female","Other",33.3679733276367
51,"female","Other",32.4703483581543
52,"female","Other",31.5791130065918
53,"female","Other",30.6948928833008
54,"female","Other",29.8181686401367
55,"female","Other",28.9489574432373
56,"female","Other",28.0870151519775
57,"female","Other",27.2318019866943
58,"female","Other",26.3827037811279
59,"female","Other",25.5392360687256
60,"female","Other",24.7012538909912
61,"female","Other",23.8689231872559
62,"female","Other",23.042459487915
63,"female","Other",22.222038269043
64,"female","Other",21.4078388214111
65,"female","Other",20.6000785827637
66,"female","Other",19.7988662719727
67,"female","Other",19.0049896240234
68,"female","Other",18.2190704345703
69,"female","Other",17.4428844451904
70,"female","Other",16.6775131225586
71,"female","Other",15.921893119812
72,"female","Other",15.1810894012451
73,"female","Other",14.4533948898315
74,"female","Other",13.738317489624
75,"female","Other",13.0347709655762
76,"female","Other",12.3472423553467
77,"female","Other",11.6747245788574
78,"female","Other",11.0189771652222
79,"female","Other",10.3825950622559
80,"female","Other",9.7629919052124
81,"female","Other",9.16382694244385
82,"female","Other",8.58300590515137
83,"female","Other",8.02350807189941
84,"female","Other",7.49172019958496
